
time,open,high,low,close,M15 Line,M25 Line,standardized candle (开盘价),standardized candle (最高价,standardized candle (最低价),standardized candle (关闭),Volume,Histogram,MACD,Signal,K,D
2026-02-13T13:00:00+08:00,4976.99,4986.555,4944.93,4946.555,4962.85166666666,5004.36639999999,4944.93,4986.555,4944.93,,35460,2.10154921004321,-24.73688997935551,-26.83843918939872,69.00431781810929,71.86998466406588
2026-02-13T14:00:00+08:00,4946.565,4968.875,4946.135,4967.64,4957.719333333326,5000.287599999991,4944.93,4968.875,4944.93,,36388,3.0732399585445656,-22.996889241218014,-26.07012919976258,74.62931618685072,73.00916192208155
2026-02-13T15:00:00+08:00,4967.615,4982.9,4951.285,4975.045,4952.01766666666,4996.25679999999,4951.285,4982.9,4951.285,,30431,4.231418770146835,-20.780855737079037,-25.01227450722587,79.31485617920787,74.31616339472262
2026-02-13T16:00:00+08:00,4975.16,4989.695,4970.91,4982.795,4953.887999999993,4993.16819999999,4970.91,4989.695,4970.91,,25541,5.458143874434658,-18.18959466418255,-23.647738538617208,94.01949257617458,82.65455498074438
2026-02-13T17:00:00+08:00,4982.81,4982.975,4961.49,4970.34,4955.834333333326,4989.4183999999905,4961.49,4982.975,4961.49,,18187,5.361649398585907,-16.945676790384823,-22.30732618897073,94.25818216481859,89.19751030673369
2026-02-13T18:00:00+08:00,4970.355,4980.89,4947.17,4950.1,4956.799333333326,4984.67739999999,4947.17,4980.89,4947.17,,16168,3.931804128455699,-17.392571028401107,-21.324375156856807,85.36605931686633,91.21457801928649
2026-02-13T19:00:00+08:00,4950.07,4955.51,4933.635,4953.64,4957.330999999993,4979.89239999999,4933.635,4955.51,4933.635,,24611,3.2498179321866516,-17.262102741623494,-20.511920673810145,75.540969716281,85.05507039932198
2026-02-13T20:00:00+08:00,4953.645,4974.23,4952.235,4969.605,4960.963333333327,4976.17739999999,4952.235,4974.23,4952.235,,26607,3.857853638809452,-15.689603625298332,-19.547457264107784,77.24148278641238,79.38283727318658
2026-02-13T21:00:00+08:00,4969.66,4999.685,4957.71,4987.26,4965.30866666666,4973.10019999999,4957.71,4999.685,4957.71,,50485,5.341634868861689,-12.870413678030673,-18.212048546892362,87.69059657330229,80.15768302533189
2026-02-13T22:00:00+08:00,4987.275,5011.07,4964.22,4996.12,4970.352333333328,4970.83099999999,4964.22,5011.07,4964.22,,84712,6.723083143432564,-9.808194617601657,-16.53127776103422,97.51568617388763,87.48258851120077
2026-02-13T23:00:00+08:00,4996.245,5020.68,4974.035,4976.885,4973.599666666661,4966.88819999999,4974.035,5020.68,4974.035,,107653,6.159692771357314,-8.83166179683758,-14.991354568194893,88.66843469751147,91.29157248156713
